setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
12,2023,20/03/2023,26/03/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,30 a 34,2,1,1
44,2023,30/10/2023,05/11/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,30 a 34,3,1,0
32,2022,08/08/2022,14/08/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,35 a 39,2,1,1
27,2023,03/07/2023,09/07/2023,70,Penedès,70,Penedès,Home,60 a 64,4,1,0
42,2022,17/10/2022,23/10/2022,64,Girona,64,Girona,Dona,70 a 74,3,1,1
11,2023,13/03/2023,19/03/2023,70,Penedès,70,Penedès,Home,70 a 74,4,1,1
22,2022,30/05/2022,05/06/2022,70,Penedès,70,Penedès,Dona,45 a 49,3,1,0
4,2023,23/01/2023,29/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,10 a 14,3,3,0
35,2023,28/08/2023,03/09/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,55 a 59,3,1,1
28,2022,11/07/2022,17/07/2022,64,Girona,64,Girona,Dona,5 a 9,4,1,0
5,2023,30/01/2023,05/02/2023,71,Alt Pirineu i Aran,71,Alt Pirineu i Aran,Dona,55 a 59,3,1,0
44,2022,31/10/2022,06/11/2022,70,Penedès,70,Penedès,Dona,40 a 44,3,1,1
19,2022,09/05/2022,15/05/2022,62,Camp de Tarragona,62,Camp de Tarragona,Home,40 a 44,4,1,0
3,2023,16/01/2023,22/01/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,30 a 34,2,1,0
27,2022,04/07/2022,10/07/2022,64,Girona,64,Girona,Dona,60 a 64,3,1,1
36,2023,04/09/2023,10/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,25 a 29,2,1,0
2,2023,09/01/2023,15/01/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,75 a 79,4,1,1
39,2022,26/09/2022,02/10/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,15 a 19,2,2,2
22,2022,30/05/2022,05/06/2022,61,Lleida,61,Lleida,Home,70 a 74,4,2,1
45,2023,06/11/2023,12/11/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,35 a 39,3,1,1
20,2024,13/05/2024,19/05/2024,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,45 a 49,3,1,1
49,2022,05/12/2022,11/12/2022,70,Penedès,70,Penedès,Home,60 a 64,3,1,1
13,2023,27/03/2023,02/04/2023,61,Lleida,61,Lleida,Dona,35 a 39,2,2,0
21,2023,22/05/2023,28/05/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,60 a 64,3,1,1
27,2023,03/07/2023,09/07/2023,64,Girona,64,Girona,Home,10 a 14,3,1,0
41,2023,09/10/2023,15/10/2023,64,Girona,64,Girona,Home,5 a 9,3,3,3
44,2022,31/10/2022,06/11/2022,64,Girona,64,Girona,Home,15 a 19,3,1,1
